Record ID,User ID,User Name,Age,Gender,City,Height (cm),Weight (kg),Workout Type,Workout Duration (Minutes),Calories Burned,Steps,Heart Rate (BPM),Resting Heart Rate (BPM),Sleep Hours,Water Intake (Liters),Daily Calories Intake,Workout Frequency,Fitness Level,Activity Date
1,54,Sana Siddiqui,19,Female,Islamabad,162.5,60.4,Yoga,61.8,226.0,7368,132.0,73,5.3,4.98,2211,7,Advanced,2025-08-28
2,41,Sara Shah,19,Male,Lahore,181.2,72.6,Weight Training,49.0,353.5,13447,127.0,70,6.5,0.3,2208,5,Advanced,2025-11-19
3,16,Asad Butt,30,Male,Rawalpindi,0.0,72.9,Cardio,71.2,631.3,16951,108.0,55,6.1,2.46,2297,4,Advanced,2025-10-08
4,60,Hamza Khan,52,Female,Peshawar,149.5,50.4,Cardio,56.0,604.5,6146,121.0,66,8.3,2.55,3066,6,Intermediate,2025-05-04
5,60,Hamza Khan,52,Female,Peshawar,149.5,50.4,Swimming,61.5,580.0,8353,150.0,63,7.4,3.9,2568,4,Intermediate,2025-03-25
6,9,Imran Farooq,38,Female,Multan,151.7,56.4,Swimming,47.9,438.9,7073,134.0,72,7.1,0.51,2169,6,Intermediate,2025-05-07
7,45,Asad Iqbal,39,Female,Multan,164.5,45.0,Swimming,58.3,738.8,3405,128.0,65,7.6,2.67,2058,3,Intermediate,2025-04-21
8,53,Ayesha Ahmed,48,Male,Multan,197.3,79.0,Cardio,49.4,488.0,4807,108.0,53,4.9,2.4,3042,6,Beginner,2025-02-23
9,26,Junaid Butt,36,Female,Faisalabad,168.2,72.3,Cycling,46.9,482.0,6330,143.0,77,4.5,1.99,2624,4,Intermediate,2025-03-06
10,44,Sara Ahmed,49,Female,Lahore,158.6,66.0,Weight Training,50.4,355.4,6628,148.0,69,6.6,3.19,2502,4,Beginner,2025-04-17
11,23,Tariq Ahmed,61,Male,Peshawar,188.8,54.7,Running,54.2,528.9,5196,100.0,57,6.1,1.71,1200,6,Intermediate,2025-10-10
12,13,Hamza Khan,52,Male,Lahore,177.5,70.3,Cardio,38.8,263.4,12761,0.0,62,6.8,1.63,1985,3,Advanced,2025-07-15
13,28,Imran Ahmed,40,Male,Peshawar,188.1,82.8,Cycling,66.9,441.8,8169,151.0,76,6.2,2.34,2039,5,Intermediate,2025-08-27
14,17,Kamran Chaudhry,23,Female,Faisalabad,151.6,62.3,Swimming,83.1,916.5,3623,141.0,72,7.2,3.03,1866,7,Advanced,2025-03-30
15,23,Tariq Ahmed,61,Male,Peshawar,188.8,54.7,Walking,52.1,183.3,6907,97.0,75,7.3,2.75,2395,3,Intermediate,2025-11-24
16,38,Mahnoor Chaudhry,54,Male,Multan,174.1,86.9,Weight Training,35.2,196.7,10815,96.0,71,,2.16,2494,4,Intermediate,2025-11-13
17,21,Komal Khan,29,Male,Lahore,174.9,57.9,Cardio,29.5,257.6,6321,155.0,69,6.4,1.71,1621,7,Beginner,2025-09-01
18,2,Ayesha Farooq,41,Male,Quetta,171.6,80.0,Weight Training,61.6,419.2,13970,121.0,64,6.9,2.65,2721,4,Advanced,2025-03-18
19,22,Adeel Khan,19,Female,Multan,157.4,65.0,Cardio,27.3,206.8,6396,134.0,63,8.2,1.85,2148,4,Beginner,2025-01-15
